"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","test_predict_with_auth_and_verify_db_insert_mocked","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestPredictEndpoint","test_predict","",""
"","4","test_get_prediction_by_uid_not_found","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","5","test_get_prediction_image_file_missing","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","153","test_count_no_auth","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestAuth","test_auth","",""
"","5","test_count_with_auth","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestAuth","test_auth","",""
"","4","test_get_predictions_by_label_empty","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","6","test_get_prediction_image_jpeg","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"
        Test that deleting an existing prediction works as expected:
        - The mocked DB delete function returns a mock object with file paths.
        - The endpoint should return 200 and remove files from disk.
        ","4","test_delete_prediction_success","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"","6","test_get_prediction_image_png","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","5","test_get_predictions_by_label","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionsByLabel","test_get_predictions_by_label","",""
"","2","test_count_with_wrong_auth","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestAuth","test_auth","",""
"","5","test_prediction_count_endpoint_mocked","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestPredictionCount","test_prediction_count","",""
"","5","test_get_prediction_image_not_acceptable","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetImage","test_get_image","",""
"","5","test_get_predictions_by_score","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"","5","test_get_prediction_image_not_found","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetImage","test_get_image","",""
"
        Test that deleting a non-existing prediction returns 404:
        - The mocked DB delete function returns None.
        ","5","test_delete_prediction_not_found","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestDeletePrediction","test_delete_prediction","",""
"","5","test_stats_endpoint_mocked","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestStatsEndpoint","test_stats","",""
"","12","test_predict_endpoint_basic","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestPredictEndpoint","test_predict","",""
"","4","test_get_prediction_image_uid_not_found","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","5","test_labels_endpoint","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestLabelsEndpoint","test_labels","",""
"","4","test_get_prediction_by_uid_mocked","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionByUID","test_get_prediction_by_uid","",""
"","4","test_get_prediction_image_not_acceptable","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","13","test_predict_with_detected_object","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestPredictEndpoint","test_predict","",""
"","4","test_delete_prediction_not_found","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionImage","test_get_prediction_image","",""
"","5","test_get_predictions_by_score_no_results","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestGetPredictionsByScore","test_get_predictions_by_score","",""
"","11","test_predict_runs_yolo_and_saves_image","tests","Fri Aug 29 11:44:41 UTC 2025","passed","Fri Aug 29 11:44:41 UTC 2025","TestPredictEndpoint","test_predict","",""
